rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,disabled
1170,116,Michigan State University,65.4,1170,54.8,102,52.3,125,86.2,189,70.0,432,71.4,388,public,0,560,United States,False
1180,118,Texas A&M University,65.3,1180,55.2,98,62.1,77,77.3,389,76.4,313,64.1,502,public,0,629,United States,False
1190,119,Rice University,65.2,1190,56.4,89,45.6,184,86.5,183,73.9,351,85.8,180,private,0,536,United States,False
1200,119,University of Vienna,65.2,1200,48.7,149,60.3,84,77.4,386,75.9,320,94.9,50,master_account,0,603,Austria,False
1210,121,University of Helsinki,65.1,1210,48.1,157,57.6,97,90.6,114,69.2,451,56.7,648,master_account,0,555,Finland,False
1220,122,Penn State (Main campus),65,1220,53.1,111,58.7,91,83.7,241,70.4,421,58.4,617,public,0,515,United States,False
1230,123,University of Basel,64.9,1230,50.8,127,42.9,210,87.7,157,99.4,62,95.4,42,master_account,0,575,Switzerland,False
1240,123,University of Massachusetts,64.9,1240,54.0,106,46.9,169,87.3,168,85.6,200,77.3,291,master_account,0,528,United States,False
1250,125,Vrije Universiteit Amsterdam,64.7,1250,40.4,297,51.0,137,93.4,68,91.5,151,84.3,198,master_account,0,625,Netherlands,False
1260,126,Technical University of Denmark,64.6,1260,50.7,129,47.4,162,83.2,257,99.7,52,92.2,99,master_account,0,643,Denmark,False
1270,127,University of Oslo,64.3,1270,45.6,196,50.6,139,92.1,91,72.3,379,75.6,320,master_account,0,647,Norway,False
1280,128,University of Freiburg,64.1,1280,46.7,176,51.3,132,86.2,188,100.0,9,74.2,347,master_account,0,653,Germany,False
1290,129,University of Leeds,63.9,1290,46.1,186,49.1,150,87.3,167,68.8,458,94.6,57,master_account,0,597,United Kingdom,False
1300,130,University of Nottingham,63.8,1300,45.6,195,45.9,180,90.6,115,71.2,402,92.8,87,master_account,0,604,United Kingdom,False
1310,130,Tohoku University,63.8,1310,67.8,48,66.4,61,53.8,926,99.9,37,58.5,614,master_account,0,584,Japan,False
1320,132,University of Florida,63.7,1320,55.5,93,56.7,103,78.3,357,88.9,174,50.9,776,public,0,590,United States,False
1330,133,University of Rochester,63.6,1330,50.8,128,42.9,211,88.3,150,89.0,173,81.7,230,private,0,545,United States,False
1340,134,Trinity College Dublin,63.2,1340,44.0,220,48.4,154,87.6,160,76.6,309,91.4,111,master_account,11,582,Ireland,False
1350,135,Queen Mary University of London,63.1,1350,37.6,376,42.6,216,97.9,14,73.9,350,98.1,7,master_account,0,131678,United Kingdom,False
1360,136,University of Hamburg,63,1360,44.7,208,53.3,122,84.8,216,98.6,78,65.7,471,master_account,0,701,Germany,False
1370,136,Technical University of Berlin,63,1370,47.8,162,55.6,108,78.1,364,99.9,36,71.3,389,master_account,0,1022,Germany,False
1380,138,University of Colorado Boulder,62.9,1380,46.5,181,51.9,127,88.6,145,82.8,231,56.6,651,public,0,541,United States,False
1390,138,Maastricht University,62.9,1390,41.4,270,47.1,166,86.1,190,98.1,88,97.4,18,master_account,6,663,Netherlands,False
1400,140,Karlsruhe Institute of Technology,62.8,1400,49.9,137,56.8,102,72.5,499,99.9,32,77.6,287,master_account,0,660,Germany,False
1410,140,Radboud University Nijmegen,62.8,1410,39.1,334,51.0,136,91.3,103,81.4,246,77.7,285,master_account,11,624,Netherlands,False
1420,140,Uppsala University,62.8,1420,43.9,222,55.0,111,81.3,296,97.7,92,74.7,337,master_account,0,551,Sweden,False
1430,143,University of Lausanne,62.7,1430,41.7,267,46.3,175,87.3,166,99.5,59,90.4,126,master_account,0,580,Switzerland,False
1440,143,The University of Western Australia,62.7,1440,37.7,368,48.6,152,88.7,144,97.2,94,93.5,74,master_account,6,654,Australia,False
1450,145,University of Pittsburgh-Pittsburgh campus,62.5,1450,49.1,141,46.1,178,92.4,87,76.1,316,50.9,778,public,0,524,United States,False
1460,145,Sungkyunkwan University (SKKU),62.5,1460,55.5,94,54.2,114,72.9,486,98.8,73,61.3,555,master_account,0,805,South Korea,False
1470,147,University of York,62.4,1470,42.4,256,44.8,191,90.8,112,66.9,507,93.1,83,master_account,0,586,United Kingdom,False
1480,148,University of Technology Sydney,62.3,1480,36.2,421,43.3,207,95.9,39,78.9,278,94.3,60,master_account,0,906,Australia,False
1490,149,Pohang University of Science and Technology (POSTECH),62.2,1490,58.1,85,51.5,130,77.2,392,100.0,21,40.0,1118,master_account,0,517,South Korea,False
1500,150,University of Auckland,62,1500,39.7,316,45.7,182,88.3,148,95.8,109,89.9,130,master_account,0,637,New Zealand,False
1510,150,Sichuan University,62,1510,59.1,81,57.3,99,69.3,574,93.2,135,46.1,929,master_account,0,1003,China,False
