rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,Country Name,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Population, total","Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
1260,126,University of Oslo,60.2,1260,40.1,232,48.5,143,89.0,165,44.5,584,77.0,250,master_account,0,/world-university-rankings/university-oslo,647,Norway,"21,548",13.3,15%,66:34:00,University of Oslo,"Geology, Environmental, Earth & Marine Sciences,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Geography,Education,Psychology,Physics & Astronomy,Agriculture & Forestry,Computer Science,Other Health,Languages, Literature & Linguistics,Mathematics & Statistics,Law,Medicine & Dentistry,Chemistry,Economics & Econometrics,Biological Sciences",False,False,False,Norway,486000000000.0,0.514118227,87961.78061,5.517849871,5519594.0,3.573,83.995
1270,127,Purdue University West Lafayette,60.1,1270,55.9,79,64.2,67,56.9,722,67.8,212,71.1,332,public,0,/world-university-rankings/purdue-university-west-lafayette,562,United States,"44,551",16.9,20%,44:56:00,Purdue University West Lafayette,"Physics & Astronomy,Biological Sciences,Art, Performing Arts & Design,Architecture,Sport Science,Computer Science,Accounting & Finance,Languages, Literature & Linguistics,Sociology,Economics & Econometrics,Medicine & Dentistry,Chemical Engineering,Veterinary Science,Agriculture & Forestry,History, Philosophy & Theology,Other Health,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Education,Chemistry,Communication & Media Studies,Psychology,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Archaeology,Business & Management,Mathematics & Statistics",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1280,128,University of Hamburg,59.8,1280,46.5,139,54.4,111,75.4,403,96.1,36,60.4,472,master_account,0,/world-university-rankings/university-hamburg,701,Germany,"30,676",61.5,12%,58:42:00,University of Hamburg,"Computer Science,Archaeology,Mathematics & Statistics,Psychology,Medicine & Dentistry,Economics & Econometrics,Agriculture & Forestry,Sport Science,Languages, Literature & Linguistics,Communication & Media Studies,Other Health,Accounting & Finance,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Geography,Sociology,Chemistry,Physics & Astronomy,Biological Sciences,Business & Management,Education",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1290,128,University of Leeds,59.8,1290,46.0,148,47.8,148,79.3,337,40.5,893,91.8,96,master_account,0,/world-university-rankings/university-leeds,597,United Kingdom,"33,990",14.6,36%,60:40:00,University of Leeds,"General Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Chemistry,Chemical Engineering,Physics & Astronomy,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Computer Science,Education,History, Philosophy & Theology,Accounting & Finance,Psychology,Law,Sociology,Politics & International Studies (incl Development Studies),Sport Science,Agriculture & Forestry,Mathematics & Statistics,Civil Engineering,Other Health,Art, Performing Arts & Design",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1300,130,University of Nottingham,59.6,1300,41.8,205,44.1,188,86.6,210,41.7,780,90.4,108,master_account,0,/world-university-rankings/university-nottingham,604,United Kingdom,"32,875",15.1,31%,54:46:00,University of Nottingham,"Other Health,Sport Science,Psychology,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Physics & Astronomy,Accounting & Finance,Medicine & Dentistry,Veterinary Science,Education,History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Chemistry,Sociology,Economics & Econometrics,Archaeology,Biological Sciences,Law,Architecture,Agriculture & Forestry,Geography",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1310,131,University of Antwerp,59.4,1310,36.4,312,46.2,169,90.4,138,83.5,97,71.8,325,master_account,0,/world-university-rankings/university-antwerp,742,Belgium,"15,857",32.2,17%,56:44:00,University of Antwerp,"Veterinary Science,Chemistry,Education,Languages, Literature & Linguistics,Chemical Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,History, Philosophy & Theology,Sociology,Art, Performing Arts & Design,Biological Sciences,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Business & Management,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Other Health,Communication & Media Studies,General Engineering",False,False,False,Belgium,632000000000.0,1.365055231,53475.2935,4.049010776,11822592.0,5.528,98.189
1320,131,The University of Western Australia,59.4,1320,34.9,350,48.1,146,85.6,227,69.2,202,94.4,55,master_account,6,/world-university-rankings/university-western-australia,654,Australia,"18,405",21.3,28%,49:51:00,The University of Western Australia,"General Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Agriculture & Forestry,Psychology,Communication & Media Studies,Business & Management,Electrical & Electronic Engineering,Sport Science,Medicine & Dentistry,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Education,Other Health,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Geography,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Architecture,Chemical Engineering,Archaeology,Sociology,Law,Mechanical & Aerospace Engineering,Veterinary Science",False,False,False,Australia,1720000000000.0,3.016988104,64711.7656,5.597014925,26638544.0,3.668,86.617
1330,133,University of Technology Sydney,59.3,1330,36.9,299,42.1,210,90.5,137,49.7,413,96.0,31,master_account,0,/world-university-rankings/university-technology-sydney,906,Australia,"27,481",35.1,31%,50:50:00,University of Technology Sydney UTS,"Business & Management,Psychology,Mathematics & Statistics,Communication & Media Studies,Geography,Electrical & Electronic Engineering,Education,General Engineering,Other Health,Biological Sciences,Computer Science,Sociology,Geology, Environmental, Earth & Marine Sciences,Architecture,Medicine & Dentistry,Law,Sport Science,Art, Performing Arts & Design,Civil Engineering,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemical Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Economics & Econometrics,Physics & Astronomy,History, Philosophy & Theology,Chemistry,Agriculture & Forestry",False,False,False,Australia,1720000000000.0,3.016988104,64711.7656,5.597014925,26638544.0,3.668,86.617
1340,134,Case Western Reserve University,59.0,1340,48.4,121,40.6,226,90.7,134,43.4,647,52.9,608,private,0,/world-university-rankings/case-western-reserve-university,557,United States,"10,934",8.2,20%,51:49:00,Case Western Reserve University,"Computer Science,Agriculture & Forestry,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Education,Accounting & Finance,Chemical Engineering,Other Health,Sociology,Electrical & Electronic Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Physics & Astronomy,Mathematics & Statistics,Architecture,Medicine & Dentistry,Biological Sciences",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1350,135,University of Lausanne,58.7,1350,35.8,328,47.6,149,83.0,267,72.3,176,92.3,90,master_account,0,/world-university-rankings/university-lausanne,580,Switzerland,"13,401",10.2,23%,,University of Lausanne,"Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,History, Philosophy & Theology,Business & Management,Law,Geology, Environmental, Earth & Marine Sciences,Other Health,Medicine & Dentistry,Accounting & Finance,Economics & Econometrics,Computer Science,Geography,Archaeology,Psychology,Communication & Media Studies,Sport Science,Education",False,False,False,Switzerland,885000000000.0,0.716066869,99994.93802,2.13540088,8849852.0,4.043,74.202
1360,136,Georgetown University,58.6,1360,55.5,82,35.0,309,88.0,181,54.0,339,49.1,692,private,0,/world-university-rankings/georgetown-university,602,United States,"16,074",8.0,19%,54:46:00,Georgetown University,"History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Psychology,Sociology,Medicine & Dentistry,Law,Mathematics & Statistics,Computer Science,Physics & Astronomy,Accounting & Finance,Architecture,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Agriculture & Forestry,Other Health,Sport Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Chemistry,Biological Sciences",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1370,137,University of Exeter,58.5,1370,32.4,431,41.3,218,94.8,94,39.2,1077,92.7,85,master_account,0,/world-university-rankings/university-exeter,620,United Kingdom,"24,165",15.9,29%,53:47:00,University of Exeter,"Architecture,Biological Sciences,Law,Languages, Literature & Linguistics,Computer Science,Politics & International Studies (incl Development Studies),Accounting & Finance,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Mechanical & Aerospace Engineering,Sociology,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Veterinary Science,Education,History, Philosophy & Theology,Agriculture & Forestry,Geography,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Communication & Media Studies,Economics & Econometrics",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1380,137,University of Ottawa,58.5,1380,41.7,206,45.4,173,82.6,273,51.0,392,84.1,172,master_account,11,/world-university-rankings/university-ottawa,649,Canada,"36,670",26.0,24%,58:42:00,University of Ottawa,"Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Education,Sport Science,Business & Management,Computer Science,General Engineering,Electrical & Electronic Engineering,Sociology,Accounting & Finance,Civil Engineering,Chemical Engineering,Art, Performing Arts & Design,Psychology,Geography,Biological Sciences,Physics & Astronomy,Law,Other Health,History, Philosophy & Theology,Economics & Econometrics",False,False,False,Canada,2140000000000.0,1.065994453,53371.69743,3.879001598,40097761.0,5.415,81.862
1390,139,University of Auckland,58.4,1390,36.8,300,44.3,184,85.4,232,56.4,301,94.3,56,master_account,0,/world-university-rankings/university-auckland,637,New Zealand,"33,093",22.1,32%,56:44:00,University of Auckland UOA Auckland University,"Accounting & Finance,Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Psychology,Civil Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,General Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Computer Science,Law,Sociology,Architecture,Other Health,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Education,Languages, Literature & Linguistics,Sport Science,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Economics & Econometrics",False,False,False,New Zealand,253000000000.0,0.632242362,48527.82892,5.73316283,5223100.0,3.729,86.985
1400,139,Newcastle University,58.4,1400,33.3,400,40.0,236,96.0,80,41.8,771,87.8,140,master_account,11,/world-university-rankings/newcastle-university,610,United Kingdom,"25,590",15.1,29%,52:48:00,Newcastle University,"Chemistry,General Engineering,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Archaeology,Agriculture & Forestry,Sociology,Computer Science,Mathematics & Statistics,Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Geography,Medicine & Dentistry,Veterinary Science,Law,Electrical & Electronic Engineering,Physics & Astronomy,Psychology,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Accounting & Finance,Other Health,Sport Science,Education,Economics & Econometrics",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1410,139,Radboud University Nijmegen,58.4,1410,34.9,348,51.6,128,85.5,230,48.0,457,74.7,278,master_account,11,/world-university-rankings/radboud-university-nijmegen,624,Netherlands,"21,979",17.6,13%,56:44:00,Radboud University Nijmegen,"Other Health,Psychology,History, Philosophy & Theology,Chemistry,Sociology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Accounting & Finance,Medicine & Dentistry,Law,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Computer Science,Geography,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Physics & Astronomy,Biological Sciences,Education",False,False,False,Netherlands,1120000000000.0,0.116008635,62536.73203,3.838393543,17879488.0,3.537,93.179
1420,139,University of Würzburg,58.4,1420,40.7,220,45.2,176,87.8,189,79.4,120,57.3,526,master_account,0,/world-university-rankings/university-wurzburg,691,Germany,"23,754",40.7,10%,58:42:00,University of Würzburg,"Geography,Psychology,History, Philosophy & Theology,Sociology,Education,Art, Performing Arts & Design,Computer Science,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Business & Management,Languages, Literature & Linguistics,Veterinary Science,Archaeology,Mathematics & Statistics,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Law,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Chemical Engineering,Physics & Astronomy",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1430,139,University of York,58.4,1430,39.3,256,44.0,189,85.9,223,38.4,1217,88.7,128,master_account,0,/world-university-rankings/university-york,586,United Kingdom,"17,665",14.4,28%,56:44:00,University of York,"Archaeology,Physics & Astronomy,Law,Computer Science,Chemistry,Education,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Art, Performing Arts & Design,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Communication & Media Studies,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Sociology,Geography,Biological Sciences,History, Philosophy & Theology,Architecture",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1440,144,University of Pittsburgh-Pittsburgh campus,58.3,1440,46.2,144,42.9,199,90.6,136,44.2,601,43.4,857,public,0,/world-university-rankings/university-pittsburgh-pittsburgh-campus,524,United States,"26,575",5.5,11%,55:45:00,University of Pittsburgh-Pittsburgh campus,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Geography,Medicine & Dentistry,Sport Science,Law,Architecture,Languages, Literature & Linguistics,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,History, Philosophy & Theology,Civil Engineering,Chemistry,Computer Science,Communication & Media Studies,Biological Sciences,Psychology,Economics & Econometrics,Sociology,Business & Management,Art, Performing Arts & Design,Physics & Astronomy,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Education",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1450,145,Maastricht University,58.2,1450,38.4,275,49.6,139,75.5,399,73.2,169,98.1,11,master_account,6,/world-university-rankings/maastricht-university,663,Netherlands,"19,909",18.6,56%,60:40:00,Maastricht University,"Biological Sciences,Business & Management,Communication & Media Studies,Other Health,Sociology,Chemistry,Computer Science,Law,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Art, Performing Arts & Design,Economics & Econometrics,Languages, Literature & Linguistics,Psychology",False,False,False,Netherlands,1120000000000.0,0.116008635,62536.73203,3.838393543,17879488.0,3.537,93.179
1460,146,University of Cologne,58.0,1460,44.5,166,46.5,163,80.0,315,77.3,142,64.4,416,master_account,0,/world-university-rankings/university-cologne,961,Germany,"33,341",30.4,16%,,University of Cologne,"Mathematics & Statistics,Psychology,Physics & Astronomy,History, Philosophy & Theology,Sociology,Art, Performing Arts & Design,Chemistry,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Computer Science,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Law,Biological Sciences,Accounting & Finance,Other Health,Communication & Media Studies,Economics & Econometrics,Education",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1470,147,Rice University,57.9,1470,46.5,140,39.7,243,84.4,244,44.5,585,75.3,267,private,0,/world-university-rankings/rice-university,536,United States,"7,068",9.2,28%,43:57:00,Rice University,"Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,Business & Management,Education,Computer Science,Chemistry,Architecture,Economics & Econometrics,General Engineering,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,Psychology,Sport Science,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Biological Sciences",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1480,148,University of Colorado Boulder,57.8,1480,45.6,152,46.3,168,85.5,228,44.6,578,45.6,784,public,0,/world-university-rankings/university-colorado-boulder,541,United States,"34,928",16.0,8%,45:55:00,University of Colorado Boulder,"Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Physics & Astronomy,Civil Engineering,Chemical Engineering,Business & Management,Law,Mechanical & Aerospace Engineering,Psychology,Mathematics & Statistics,History, Philosophy & Theology,Education,Architecture,Biological Sciences,General Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Chemistry,Computer Science,Geography,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Sociology,Geology, Environmental, Earth & Marine Sciences",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1490,148,Ulm University,57.8,1490,41.6,207,41.2,221,89.3,163,77.6,139,56.1,555,master_account,0,/world-university-rankings/ulm-university,687,Germany,"10,271",26.2,13%,51:49:00,Ulm University,"Biological Sciences,Education,Chemical Engineering,Chemistry,Other Health,Physics & Astronomy,Sport Science,Medicine & Dentistry,Electrical & Electronic Engineering,Computer Science,Mathematics & Statistics,Psychology",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1500,148,Uppsala University,57.8,1500,37.6,287,55.7,105,75.2,409,71.5,185,72.6,310,master_account,0,/world-university-rankings/uppsala-university,551,Sweden,"25,548",15.3,17%,62:38:00,Uppsala University,"Economics & Econometrics,History, Philosophy & Theology,Education,Physics & Astronomy,Communication & Media Studies,Chemistry,Medicine & Dentistry,Electrical & Electronic Engineering,Computer Science,Languages, Literature & Linguistics,Chemical Engineering,Archaeology,Accounting & Finance,Sociology,Civil Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Law,Psychology,Other Health",False,False,False,Sweden,593000000000.0,-0.196170995,56305.2502,8.548624897,10536632.0,7.611,88.738
1510,151,University of Florida,57.7,1510,55.0,85,58.7,86,64.2,587,51.4,381,41.4,927,public,0,/world-university-rankings/university-florida,590,United States,"46,807",16.1,8%,56:44:00,University of Florida,"History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Law,Computer Science,Mathematics & Statistics,Education,Art, Performing Arts & Design,Biological Sciences,Communication & Media Studies,Architecture,Sport Science,Psychology,Other Health,Chemical Engineering,Chemistry,Accounting & Finance,General Engineering,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Veterinary Science,Geography",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1520,151,Penn State (Main campus),57.7,1520,47.8,129,53.8,117,75.2,408,41.6,791,48.3,714,public,0,/world-university-rankings/penn-state-main-campus,515,United States,"46,863",14.0,16%,47:53:00,Penn State (Main campus),"Business & Management,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Mathematics & Statistics,General Engineering,Law,Medicine & Dentistry,Architecture,Veterinary Science,Politics & International Studies (incl Development Studies),Civil Engineering,Archaeology,Chemistry,Chemical Engineering,Education,Computer Science,Languages, Literature & Linguistics,Psychology,Accounting & Finance,Communication & Media Studies,Other Health,Sport Science,Art, Performing Arts & Design,Physics & Astronomy,History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Biological Sciences,Geography,Agriculture & Forestry",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1530,151,Tufts University,57.7,1530,47.1,132,36.7,285,92.2,120,43.4,653,51.4,641,private,0,/world-university-rankings/tufts-university,542,United States,"11,399",10.0,16%,56:44:00,Tufts University,"Languages, Literature & Linguistics,Agriculture & Forestry,Sociology,History, Philosophy & Theology,Chemical Engineering,Law,General Engineering,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Business & Management,Other Health,Chemistry,Economics & Econometrics,Archaeology,Veterinary Science,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Mathematics & Statistics,Education,Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1540,154,University of Rochester,57.6,1540,42.0,201,40.5,228,87.0,204,49.3,425,73.8,289,private,0,/world-university-rankings/university-rochester,545,United States,"10,364",7.7,36%,50:50:00,University of Rochester,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Psychology,Biological Sciences,Medicine & Dentistry,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Economics & Econometrics,Physics & Astronomy,Accounting & Finance,Veterinary Science,Agriculture & Forestry,Business & Management,Communication & Media Studies,Archaeology,History, Philosophy & Theology,Sociology,Chemistry,Architecture,Other Health",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1550,155,KTH Royal Institute of Technology,57.5,1550,43.5,177,53.8,116,68.4,512,68.1,210,81.1,210,master_account,6,/world-university-rankings/kth-royal-institute-technology,651,Sweden,"13,329",16.4,20%,34 : 66,KTH Royal Institute of Technology,"Education,History, Philosophy & Theology,General Engineering,Business & Management,Mechanical & Aerospace Engineering,Mathematics & Statistics,Computer Science,Biological Sciences,Architecture,Chemical Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Civil Engineering",False,False,False,Sweden,593000000000.0,-0.196170995,56305.2502,8.548624897,10536632.0,7.611,88.738
1560,156,Arizona State University (Tempe),57.4,1560,44.8,160,47.9,147,79.6,324,40.2,924,62.5,446,public,11,/world-university-rankings/arizona-state-university-tempe,591,United States,"50,027",19.6,17%,45:55:00,Arizona State University (Tempe),"General Engineering,Business & Management,Architecture,Psychology,Art, Performing Arts & Design,Other Health,Communication & Media Studies,Civil Engineering,Computer Science,Law,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Archaeology,Biological Sciences,Education,Languages, Literature & Linguistics,Sociology,Accounting & Finance,Sport Science,Geography,Economics & Econometrics,Mathematics & Statistics",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1570,156,Technical University of Berlin,57.4,1570,48.8,116,55.7,104,62.0,624,92.6,57,67.8,374,master_account,0,/world-university-rankings/technical-university-berlin,1022,Germany,"20,243",48.1,27%,35 : 65,Technical University of Berlin,"General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Computer Science,Education,Accounting & Finance,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Architecture,Chemical Engineering,Physics & Astronomy",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1580,156,TU Dresden,57.4,1580,48.8,117,50.7,134,69.1,503,92.4,58,60.5,469,master_account,0,/world-university-rankings/tu-dresden,720,Germany,"30,382",30.8,16%,45:55:00,TU Dresden,"Civil Engineering,Biological Sciences,General Engineering,History, Philosophy & Theology,Geography,Education,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies,Sociology,Psychology,Electrical & Electronic Engineering,Medicine & Dentistry,Economics & Econometrics,Business & Management,Chemical Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Architecture,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Other Health,Mathematics & Statistics",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1590,156,University of Virginia (Main campus),57.4,1590,48.1,125,39.8,241,86.6,211,45.8,532,52.5,617,public,0,/world-university-rankings/university-virginia-main-campus,601,United States,"25,810",9.0,13%,53:47:00,University of Virginia (Main campus),"General Engineering,Chemistry,Geography,Physics & Astronomy,Sociology,Other Health,Biological Sciences,Education,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Economics & Econometrics,Archaeology,Chemical Engineering,Accounting & Finance,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Psychology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Architecture,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Sport Science,Law",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1600,160,University of Cape Town,57.2,1600,33.9,380,43.8,192,88.7,172,53.3,349,78.8,232,master_account,11,/world-university-rankings/university-cape-town,567,South Africa,"21,069",12.8,15%,54:46:00,University of Cape Town UCT,"Politics & International Studies (incl Development Studies),Sport Science,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Chemical Engineering,Sociology,Medicine & Dentistry,Biological Sciences,Law,Languages, Literature & Linguistics,Civil Engineering,Geography,Accounting & Finance,Other Health,Communication & Media Studies,Archaeology,Chemistry,Business & Management,Computer Science,Physics & Astronomy,Economics & Econometrics,History, Philosophy & Theology,Mathematics & Statistics,Psychology",False,False,False,South Africa,378000000000.0,0.601662303,6253.161613,6.073908532,60414495.0,32.098,68.819
