rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,Country Name,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Population, total","Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
1060,106,Michigan State University,62.8,1060,56.2,77,55.6,106,78.8,346,39.9,980,61.9,454,public,0,/world-university-rankings/michigan-state-university,560,United States,"45,465",16.0,13%,52:48:00,Michigan State University,"Business & Management,Other Health,History, Philosophy & Theology,Chemistry,Law,General Engineering,Agriculture & Forestry,Art, Performing Arts & Design,Sociology,Sport Science,Computer Science,Economics & Econometrics,Architecture,Geology, Environmental, Earth & Marine Sciences,Psychology,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemical Engineering,Biological Sciences,Languages, Literature & Linguistics,Civil Engineering,Education,Mathematics & Statistics,Communication & Media Studies,Geography,Archaeology,Medicine & Dentistry,Veterinary Science,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1070,107,Ghent University,62.7,1070,48.6,119,60.1,80,77.8,364,80.0,113,63.9,425,master_account,0,/world-university-rankings/ghent-university,570,Belgium,"39,437",35.6,12%,57:43:00,Ghent University,"Art, Performing Arts & Design,General Engineering,Physics & Astronomy,Business & Management,Archaeology,Chemical Engineering,Communication & Media Studies,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Mathematics & Statistics,Psychology,Biological Sciences,Sociology,Electrical & Electronic Engineering,Geography,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Other Health,Sport Science,Education,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Veterinary Science,Law",False,False,False,Belgium,632000000000.0,1.365055231,53475.2935,4.049010776,11822592.0,5.528,98.189
1080,108,University of Birmingham,62.6,1080,40.5,224,46.2,170,95.2,87,42.3,731,92.2,91,master_account,0,/world-university-rankings/university-birmingham,612,United Kingdom,"31,820",15.0,34%,58:42:00,University of Birmingham,"General Engineering,Communication & Media Studies,Accounting & Finance,History, Philosophy & Theology,Biological Sciences,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Geography,Architecture,Chemical Engineering,Sociology,Archaeology,Sport Science,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Law,Languages, Literature & Linguistics,Civil Engineering,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Physics & Astronomy,Psychology,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1090,108,University of Southampton,62.6,1090,41.4,209,47.5,152,92.3,117,44.1,610,94.6,52,master_account,0,/world-university-rankings/university-southampton,593,United Kingdom,"21,175",13.7,39%,53:47:00,University of Southampton,"Electrical & Electronic Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,History, Philosophy & Theology,Civil Engineering,Education,Physics & Astronomy,Geography,Accounting & Finance,Medicine & Dentistry,Chemical Engineering,Law,Biological Sciences,Economics & Econometrics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Psychology,General Engineering,Other Health,Communication & Media Studies,Chemistry,Sociology,Business & Management,Archaeology",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1100,110,University of Helsinki,62.5,1100,45.9,149,58.5,89,86.6,208,39.1,1092,57.0,531,master_account,0,/world-university-rankings/university-helsinki,555,Finland,"23,059",15.8,5%,67:33:00,University of Helsinki,"Law,Economics & Econometrics,Communication & Media Studies,Civil Engineering,Biological Sciences,Chemical Engineering,Sociology,Chemistry,Business & Management,Computer Science,Agriculture & Forestry,Geography,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Physics & Astronomy,Sport Science,Mathematics & Statistics,Education,Psychology,Archaeology,History, Philosophy & Theology,Electrical & Electronic Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Accounting & Finance,Medicine & Dentistry,Architecture,Other Health",False,False,False,Finland,300000000000.0,-1.035375693,53755.91174,6.250643222,5584264.0,7.151,85.773
1110,111,Université de Montréal,62.3,1110,50.9,107,53.2,119,75.8,395,76.5,148,85.5,158,master_account,11,/world-university-rankings/universite-de-montreal,569,Canada,"38,189",20.8,22%,,Université de Montréal Université de Montréal Universite de Montreal,"Communication & Media Studies,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Sport Science,Mathematics & Statistics,Architecture,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Civil Engineering,Biological Sciences,Psychology,Computer Science,Veterinary Science,Chemical Engineering,Business & Management,Sociology,Archaeology,General Engineering,Education,Accounting & Finance,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Law",False,False,False,Canada,2140000000000.0,1.065994453,53371.69743,3.879001598,40097761.0,5.415,81.862
1120,112,Ohio State University (Main campus),62.2,1120,53.0,93,51.2,130,83.4,256,55.3,317,60.3,474,public,0,/world-university-rankings/ohio-state-university-main-campus,521,United States,"55,814",11.8,13%,51:49:00,Ohio State University (Main campus),"Electrical & Electronic Engineering,Veterinary Science,Communication & Media Studies,Civil Engineering,Computer Science,Archaeology,Education,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Economics & Econometrics,Geography,Sociology,Biological Sciences,Sport Science,Architecture,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,Physics & Astronomy,Psychology,Law,Mechanical & Aerospace Engineering,Chemistry,Languages, Literature & Linguistics,Agriculture & Forestry,History, Philosophy & Theology,General Engineering",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1130,113,University of Freiburg,61.9,1130,47.8,128,52.8,121,80.8,303,96.2,34,67.3,379,master_account,0,/world-university-rankings/university-freiburg,653,Germany,"20,253",37.2,17%,53:47:00,University of Freiburg,"Mathematics & Statistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,Sport Science,Communication & Media Studies,Languages, Literature & Linguistics,Medicine & Dentistry,Sociology,Archaeology,Physics & Astronomy,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Electrical & Electronic Engineering,Law,Education,Geography,Psychology,Computer Science,Biological Sciences,Chemistry",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1140,114,University of Copenhagen,61.7,1140,45.1,157,47.5,150,87.2,200,55.0,321,84.7,165,master_account,0,/world-university-rankings/university-copenhagen,599,Denmark,"31,519",4.2,16%,62:38:00,University of Copenhagen,"Politics & International Studies (incl Development Studies),Other Health,Psychology,Archaeology,Biological Sciences,Communication & Media Studies,History, Philosophy & Theology,Law,Sport Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Computer Science,Economics & Econometrics,Mathematics & Statistics,Physics & Astronomy,Languages, Literature & Linguistics,Chemistry,Veterinary Science,Agriculture & Forestry,Geography,Sociology",False,False,False,Denmark,404000000000.0,1.889610386,67967.38187,3.305178112,5946952.0,5.094,88.495
1150,114,Université Paris Cité,61.7,1150,51.5,99,44.8,179,89.3,162,37.3,1526,68.3,364,master_account,6,/world-university-rankings/universite-paris-cite,670575,France,"62,747",17.0,19%,65:35:00,Université Paris Cité france international student life,"Languages, Literature & Linguistics,Archaeology,General Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences,Geography,Chemistry,Psychology,Biological Sciences,Sport Science,Accounting & Finance,Chemical Engineering,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Law,Business & Management,Communication & Media Studies,Education,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Other Health,Sociology,Economics & Econometrics,Civil Engineering",False,False,False,France,3030000000000.0,0.703718547,44460.81785,4.878357265,68170228.0,7.335,81.777
1160,114,University of Sheffield,61.7,1160,43.6,175,46.4,165,89.5,158,47.4,477,88.5,130,master_account,11,/world-university-rankings/university-sheffield,565,United Kingdom,"27,465",14.5,41%,53:47:00,University of Sheffield united kingdom UK Sheffield,"Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Medicine & Dentistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Archaeology,General Engineering,Civil Engineering,Physics & Astronomy,Geography,Politics & International Studies (incl Development Studies),Computer Science,Electrical & Electronic Engineering,Other Health,Law,Architecture,Education,Economics & Econometrics,Chemistry,Psychology,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Mathematics & Statistics,Mechanical & Aerospace Engineering,Sociology",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1170,117,Aarhus University,61.2,1170,40.6,221,60.0,81,77.6,365,74.1,165,77.9,240,master_account,1,/world-university-rankings/aarhus-university,589,Denmark,"26,475",13.5,10%,55:45:00,Aarhus University,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Veterinary Science,Accounting & Finance,Art, Performing Arts & Design,Mathematics & Statistics,Law,History, Philosophy & Theology,Agriculture & Forestry,Geography,Other Health,Sport Science,Psychology,Archaeology,Biological Sciences,Business & Management,Computer Science,Chemical Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Education,Civil Engineering,Chemistry,Economics & Econometrics",False,False,False,Denmark,404000000000.0,1.889610386,67967.38187,3.305178112,5946952.0,5.094,88.495
1180,118,University of Alberta,61.1,1180,48.8,115,52.7,122,72.9,444,82.7,100,89.2,120,master_account,11,/world-university-rankings/university-alberta,564,Canada,"32,338",21.6,28%,,University of Alberta,"Civil Engineering,Sociology,Other Health,Electrical & Electronic Engineering,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Medicine & Dentistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,Computer Science,Chemistry,General Engineering,Physics & Astronomy,Accounting & Finance,History, Philosophy & Theology,Chemical Engineering,Psychology,Archaeology,Veterinary Science,Communication & Media Studies,Biological Sciences,Education",False,False,False,Canada,2140000000000.0,1.065994453,53371.69743,3.879001598,40097761.0,5.415,81.862
1190,119,University of Göttingen,61.0,1190,46.3,142,53.8,115,83.9,250,40.1,946,63.0,437,master_account,0,/world-university-rankings/university-gottingen,533,Germany,"30,221",26.0,14%,52:48:00,University of Göttingen,"Biological Sciences,Geography,Education,Veterinary Science,Law,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Sport Science,Psychology,Medicine & Dentistry,Chemistry,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Sociology,Other Health,Communication & Media Studies,Physics & Astronomy",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1200,119,Lund University,61.0,1200,40.5,225,55.5,107,81.0,297,79.5,118,78.5,237,master_account,0,/world-university-rankings/lund-university,544,Sweden,"28,545",11.5,18%,55:45:00,Lund University,"Electrical & Electronic Engineering,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Business & Management,Civil Engineering,Sociology,Languages, Literature & Linguistics,Architecture,Agriculture & Forestry,Law,Archaeology,Biological Sciences,Education,History, Philosophy & Theology,Chemical Engineering,Geography,Computer Science,Chemistry,Accounting & Finance,Psychology,Medicine & Dentistry,Mathematics & Statistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics",False,False,False,Sweden,593000000000.0,-0.196170995,56305.2502,8.548624897,10536632.0,7.611,88.738
1210,121,Vrije Universiteit Amsterdam,60.9,1210,38.4,276,52.2,125,87.5,196,59.1,282,79.4,225,master_account,0,/world-university-rankings/vrije-universiteit-amsterdam,625,Netherlands,"29,796",19.8,16%,56:44:00,Vrije Universiteit Amsterdam,"Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Politics & International Studies (incl Development Studies),Law,Biological Sciences,Business & Management,Other Health,Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Medicine & Dentistry,Sociology,Archaeology,Education,Communication & Media Studies,Computer Science,Architecture,Geography,Sport Science,Accounting & Finance,Agriculture & Forestry,Psychology",False,False,False,Netherlands,1120000000000.0,0.116008635,62536.73203,3.838393543,17879488.0,3.537,93.179
1220,122,Lancaster University,60.8,1220,38.7,266,40.0,235,96.9,67,38.3,1224,94.9,44,master_account,0,/world-university-rankings/lancaster-university,595,United Kingdom,"14,380",12.8,39%,51:49:00,Lancaster University,"Computer Science,Art, Performing Arts & Design,Business & Management,Biological Sciences,Politics & International Studies (incl Development Studies),Chemistry,Architecture,Chemical Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Education,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Sport Science,General Engineering,Accounting & Finance,Sociology,Electrical & Electronic Engineering,History, Philosophy & Theology,Psychology,Medicine & Dentistry,Law,Geography,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1230,123,Dartmouth College,60.7,1230,59.8,57,40.4,231,88.2,177,40.0,960,42.0,902,private,0,/world-university-rankings/dartmouth-college,554,United States,"6,440",7.8,15%,49:51:00,Dartmouth College,"Sociology,Mathematics & Statistics,General Engineering,History, Philosophy & Theology,Computer Science,Biological Sciences,Geography,Art, Performing Arts & Design,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Economics & Econometrics,Other Health,Business & Management,Physics & Astronomy,Archaeology,Medicine & Dentistry,Chemistry,Chemical Engineering,Accounting & Finance",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1240,124,Queen Mary University of London,60.4,1240,34.3,370,41.3,219,97.7,51,44.0,615,97.1,19,master_account,0,/world-university-rankings/queen-mary-university-london,131678,United Kingdom,"20,505",13.1,46%,55:45:00,Queen Mary University of London,"Mechanical & Aerospace Engineering,Communication & Media Studies,Accounting & Finance,Chemical Engineering,Geography,Chemistry,Business & Management,History, Philosophy & Theology,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Law,Other Health,Sociology,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Psychology,Medicine & Dentistry,Physics & Astronomy,Politics & International Studies (incl Development Studies)",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1250,124,University of Vienna,60.4,1250,49.4,114,59.3,83,65.1,571,44.8,575,95.8,35,master_account,0,/world-university-rankings/university-vienna,603,Austria,"35,929",42.9,29%,66:34:00,University of Vienna,"Physics & Astronomy,Computer Science,Geography,Geology, Environmental, Earth & Marine Sciences,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Business & Management,Biological Sciences,Psychology,Archaeology,Sociology,Education,Sport Science,Law,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance",False,False,False,Austria,516000000000.0,-0.828815089,56505.96828,7.81413417,9132383.0,5.264,59.53
