rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,apply_link,cta_button/link,cta_button/text
8180,801–1000,University of Aveiro,29.8–33.9,8180,25.9,696,25.7,532,40.2,1024,39.0,1104,50.4,661,master_account,0,/world-university-rankings/university-aveiro,769,Portugal,"12,566",15.1,10%,54 : 46,University of Aveiro,"Economics & Econometrics,Psychology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Accounting & Finance,Communication & Media Studies,Business & Management,Other Health,Education,Electrical & Electronic Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Physics & Astronomy,Mechanical & Aerospace Engineering,Chemistry,General Engineering,Chemical Engineering,Civil Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Computer Science,Art, Performing Arts & Design,Sociology",false,false,false,,,
8190,801–1000,University of the Balearic Islands,29.8–33.9,8190,19.2,1194,16.3,934,51.2,829,37.0,1648,49.6,678,master_account,0,/world-university-rankings/university-balearic-islands,624171,Spain,"11,493",11.8,8%,60 : 40,University of the Balearic Islands,"Business & Management,Electrical & Electronic Engineering,Biological Sciences,Economics & Econometrics,General Engineering,Medicine & Dentistry,Geography,Civil Engineering,Physics & Astronomy,Computer Science,Art, Performing Arts & Design,Sport Science,History, Philosophy & Theology,Education,Sociology,Mathematics & Statistics,Psychology,Other Health,Languages, Literature & Linguistics,Chemistry,Law",false,false,false,,,
8200,801–1000,University of the Basque Country,29.8–33.9,8200,21.5,987,21.8,670,51.7,819,39.6,1016,44.5,818,master_account,0,/world-university-rankings/university-basque-country,131556,Spain,"43,018",15.4,6%,55 : 45,University of the Basque Country,"Economics & Econometrics,Archaeology,Chemistry,General Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Communication & Media Studies,Geography,Electrical & Electronic Engineering,Chemical Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Business & Management,Education,Sport Science,Medicine & Dentistry,Mathematics & Statistics,Physics & Astronomy,Law,Politics & International Studies (incl Development Studies),Psychology,History, Philosophy & Theology,Other Health,Computer Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Sociology,Architecture",false,false,false,,,
8210,801–1000,University of Bedfordshire,29.8–33.9,8210,17.9,1354,15.2,1010,49.7,860,37.1,1593,79.2,227,master_account,0,/world-university-rankings/university-bedfordshire,131393,United Kingdom,"13,175",29.6,59%,59 : 41,University of Bedfordshire,"Other Health,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Economics & Econometrics,Agriculture & Forestry,Psychology,Computer Science,Politics & International Studies (incl Development Studies),Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Law,Biological Sciences,Accounting & Finance,Languages, Literature & Linguistics,Sport Science,Civil Engineering,Education,General Engineering,Sociology",false,false,false,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-21492601,,
8220,801–1000,University of Beira Interior,29.8–33.9,8220,17.8,1371,20.9,711,50.6,843,38.4,1201,58.1,511,master_account,11,/world-university-rankings/university-beira-interior,587724,Portugal,"7,861",17.0,22%,53 : 47,University of Beira Interior,"Electrical & Electronic Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sport Science,Education,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Sociology,Economics & Econometrics,Accounting & Finance,General Engineering,Biological Sciences,Medicine & Dentistry,Business & Management,Chemistry,Mathematics & Statistics,Chemical Engineering,History, Philosophy & Theology,Other Health,Computer Science,Physics & Astronomy,Psychology,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies",false,false,false,,,
8230,801–1000,University of Belgrade,29.8–33.9,8230,21.1,1029,33.0,350,44.5,949,42.9,685,43.4,854,master_account,0,/world-university-rankings/university-belgrade,131292,Serbia,"93,251",18.9,5%,62 : 38,University of Belgrade,"Agriculture & Forestry,Law,History, Philosophy & Theology,Archaeology,Biological Sciences,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Sport Science,Business & Management,Languages, Literature & Linguistics,Chemical Engineering,Geography,Electrical & Electronic Engineering,Mathematics & Statistics,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Physics & Astronomy,Sociology,Accounting & Finance,Architecture,Civil Engineering,Chemistry,Medicine & Dentistry,Veterinary Science,Psychology",false,false,false,,,
8240,801–1000,Beni-Suef University,29.8–33.9,8240,17.9,1355,8.7,1687,67.8,517,36.9,1728,45.9,775,master_account,0,/world-university-rankings/beni-suef-university,131552,Egypt,"82,124",28.3,1%,50 : 50,Beni-Suef University,"Veterinary Science,Communication & Media Studies,Accounting & Finance,Chemistry,Biological Sciences,Mechanical & Aerospace Engineering,Architecture,Law,Sport Science,Medicine & Dentistry,Psychology,Archaeology,Agriculture & Forestry,Other Health,General Engineering,Education,Languages, Literature & Linguistics,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Sociology,Chemical Engineering,Geography,Economics & Econometrics,Computer Science,History, Philosophy & Theology,Art, Performing Arts & Design,Physics & Astronomy,Electrical & Electronic Engineering,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management",false,false,false,,,
8250,801–1000,University of Bergamo,29.8–33.9,8250,18.2,1310,22.4,646,51.5,827,41.2,823,35.5,1081,master_account,0,/world-university-rankings/university-bergamo,587817,Italy,"22,115",60.9,7%,62 : 38,University of Bergamo,"Computer Science,Business & Management,Geography,Civil Engineering,Psychology,Mechanical & Aerospace Engineering,Economics & Econometrics,Communication & Media Studies,History, Philosophy & Theology,Education,Politics & International Studies (incl Development Studies),General Engineering,Accounting & Finance,Languages, Literature & Linguistics,Law,Sport Science",false,false,false,,,
8260,801–1000,Bharathiar University,29.8–33.9,8260,36.6,306,27.6,483,30.4,1200,37.5,1418,23.7,1530,master_account,0,/world-university-rankings/bharathiar-university,624435,India,"4,097",18.8,0%,63 : 37,Bharathiar University,"Psychology,Biological Sciences,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Education,Economics & Econometrics,Accounting & Finance,Languages, Literature & Linguistics,Computer Science,Sport Science,Sociology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Chemistry,Veterinary Science,Business & Management",false,false,false,,,
8270,801–1000,Bilkent University,29.8–33.9,8270,23.4,843,24.2,582,43.5,961,55.3,316,63.7,427,master_account,0,/world-university-rankings/bilkent-university,668,Turkey,"9,682",14.2,8%,46 : 54,Bilkent University,"Electrical & Electronic Engineering,Chemistry,Architecture,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Psychology,Biological Sciences,Education,Archaeology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,Computer Science,Law,Other Health",false,false,false,,,
8280,801–1000,"Birla Institute of Technology and Science, Pilani",29.8–33.9,8280,20.3,1099,11.3,1341,63.8,594,38.2,1234,19.8,1692,master_account,0,/world-university-rankings/birla-institute-technology-and-science-pilani,131761,India,"15,651",18.1,2%,19 : 81,"Birla Institute of Technology and Science, Pilani","Civil Engineering,Art, Performing Arts & Design,Physics & Astronomy,Other Health,General Engineering,Economics & Econometrics,Biological Sciences,Law,Business & Management,Chemistry,Accounting & Finance,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics",false,false,false,,,
8290,801–1000,Boğaziçi University,29.8–33.9,8290,24.4,788,24.6,569,39.8,1030,54.1,338,41.8,906,master_account,0,/world-university-rankings/bogazici-university,772,Turkey,"12,614",22.3,3%,45 : 55,Boğaziçi University,"General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Veterinary Science,Geography,Economics & Econometrics,Archaeology,Biological Sciences,Law,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Psychology,Architecture,Agriculture & Forestry,Sport Science,Education,Electrical & Electronic Engineering,Communication & Media Studies,Other Health,Physics & Astronomy,Computer Science,Chemistry,Business & Management",false,false,false,,,
